,date,EMA
839,2003-06-05,24.8569
840,2003-06-06,24.7438
841,2003-06-09,24.6492
842,2003-06-10,24.6521
843,2003-06-11,24.6738
844,2003-06-12,24.7039
845,2003-06-13,24.6988
846,2003-06-16,24.7646
847,2003-06-17,24.8785
848,2003-06-18,24.9919
849,2003-06-19,25.0946
850,2003-06-20,25.2123
851,2003-06-23,25.2663
852,2003-06-24,25.3076
853,2003-06-25,25.3031
854,2003-06-26,25.3457
855,2003-06-27,25.3727
856,2003-06-30,25.3982
857,2003-07-01,25.4698
858,2003-07-02,25.6041
859,2003-07-03,25.6894
860,2003-07-07,25.8542
861,2003-07-08,26.03
862,2003-07-09,26.1672
863,2003-07-10,26.2379
864,2003-07-11,26.34
865,2003-07-14,26.441
866,2003-07-15,26.5199
867,2003-07-16,26.6152
868,2003-07-17,26.6223
869,2003-07-18,26.6478
870,2003-07-21,26.5899
871,2003-07-22,26.5699
872,2003-07-23,26.5585
873,2003-07-24,26.5053
874,2003-07-25,26.5419
875,2003-07-28,26.5484
876,2003-07-29,26.541
877,2003-07-30,26.5113
878,2003-07-31,26.5017
879,2003-08-01,26.4701
880,2003-08-04,26.4425
881,2003-08-05,26.368
882,2003-08-06,26.2996
883,2003-08-07,26.2434
884,2003-08-08,26.1802
885,2003-08-11,26.1259
886,2003-08-12,26.0882
887,2003-08-13,26.0417
888,2003-08-14,26.0025
889,2003-08-15,25.9585
890,2003-08-18,25.9338
891,2003-08-19,25.9992
892,2003-08-20,26.0421
893,2003-08-21,26.061
894,2003-08-22,26.0761
895,2003-08-25,26.1165
896,2003-08-26,26.1597
897,2003-08-27,26.1845
898,2003-08-28,26.2155
899,2003-08-29,26.2445
900,2003-09-02,26.3412
901,2003-09-03,26.5277
902,2003-09-04,26.7089
903,2003-09-05,26.8681
904,2003-09-08,27.0559
905,2003-09-09,27.181
906,2003-09-10,27.2162
907,2003-09-11,27.2756
908,2003-09-12,27.377
909,2003-09-15,27.4706
910,2003-09-16,27.6067
911,2003-09-17,27.6918
912,2003-09-18,27.864
913,2003-09-19,28.0636
914,2003-09-22,28.1595
915,2003-09-23,28.2967
916,2003-09-24,28.3122
917,2003-09-25,28.3053
918,2003-09-26,28.2944
919,2003-09-29,28.3454
920,2003-09-30,28.2934
921,2003-10-01,28.315
922,2003-10-02,28.3326
923,2003-10-03,28.4038
924,2003-10-06,28.4787
925,2003-10-07,28.5417
926,2003-10-08,28.5682
927,2003-10-09,28.6036
928,2003-10-10,28.6328
929,2003-10-13,28.6468
930,2003-10-14,28.6499
931,2003-10-15,28.69
932,2003-10-16,28.7414
933,2003-10-17,28.7594
934,2003-10-20,28.8156
935,2003-10-21,28.8665
936,2003-10-22,28.8687
937,2003-10-23,28.8727
938,2003-10-24,28.6572
939,2003-10-27,28.4908
940,2003-10-28,28.3678
941,2003-10-29,28.2128
942,2003-10-30,28.0135
943,2003-10-31,27.8351
944,2003-11-03,27.7251
945,2003-11-04,27.5674
946,2003-11-05,27.4277
947,2003-11-06,27.3136
948,2003-11-07,27.198
949,2003-11-10,27.0839
950,2003-11-11,26.9617
951,2003-11-12,26.8682
952,2003-11-13,26.756
953,2003-11-14,26.6363
954,2003-11-17,26.4948
955,2003-11-18,26.3667
956,2003-11-19,26.2699
957,2003-11-20,26.1585
958,2003-11-21,26.0586
959,2003-11-24,26.0273
960,2003-11-25,25.9676
961,2003-11-26,25.9183
962,2003-11-28,25.8984
963,2003-12-01,25.8929
964,2003-12-02,25.8707
965,2003-12-03,25.8516
966,2003-12-04,25.8848
967,2003-12-05,25.8938
968,2003-12-08,25.9268
969,2003-12-09,25.97
970,2003-12-10,26.029
971,2003-12-11,26.0843
972,2003-12-12,26.1382
973,2003-12-15,26.1955
974,2003-12-16,26.2779
975,2003-12-17,26.3504
976,2003-12-18,26.4504
977,2003-12-19,26.537
978,2003-12-22,26.5983
979,2003-12-23,26.6508
980,2003-12-24,26.6879
981,2003-12-26,26.7376
982,2003-12-29,26.8064
983,2003-12-30,26.8744
984,2003-12-31,26.9216
985,2004-01-02,26.9719
986,2004-01-05,27.0831
987,2004-01-06,27.1933
988,2004-01-07,27.2901
989,2004-01-08,27.373
990,2004-01-09,27.4003
991,2004-01-12,27.4165
992,2004-01-13,27.4178
993,2004-01-14,27.4447
994,2004-01-15,27.4537
995,2004-01-16,27.4877
996,2004-01-20,27.546
997,2004-01-21,27.6178
998,2004-01-22,27.6551
999,2004-01-23,27.7337
1000,2004-01-26,27.8353
1001,2004-01-27,27.8748
1002,2004-01-28,27.8591
1003,2004-01-29,27.8639
